RANK NEW,WORD,IPA,ENGLISH,FREQUENCY,DP RANK,EXAMPLE SENTENCE,,,,,,,,,,RANK NEW
1199,โค,kʰoː,cow,2860,79,โคพันธุ์นี้ให้น้ำนมมาก,,,,,,,,,,1199
1200,ไฟฟ้า,faj fáː,electricity,3382,75,คอมพิวเตอร์มือถือสะดวกที่ใช้แบตเตอรี่แทนไฟฟ้าได้ ทำให้ไม่ต้องกังวลเวลาไปในที่ที่ไม่มีไฟฟ้า,,,,,,,,,,1200
1201,ออกแบบ,ʔɔ̀ːk bɛ̀ːp,to design,3943,71,การสร้างงานศิลปะระดับชาติ ได้ว่าจ้างฝรั่งมาออกแบบตกแต่งพระบรมมหาราชวังหรือพระที่นั่ง,,,,,,,,,,1201
1202,ทน,tʰon,bear; endure,3288,76,ไม้สักทนกว่าไม้ยาง,,,,,,,,,,1202
1203,สื่อสาร,sɯ̀ː sǎːn,communicate,6239,54,คนต่างชาติต่างภาษาสื่อสารกันไม่รู้เรื่อง,,,,,,,,,,1203
1204,งบประมาณ,ŋóp pràʔ maːn,budget; estimate,6422,53,คณะวิจัยติดตามผลจัดทำมาตรฐานเครื่องคอมพิวเตอร์สำหรับให้นักเรียนใช้วางแผนงบประมาณ,,,,,,,,,,1204
1205,ลูกสาว,lûːk sǎːw,daughter,3490,74,เขามีลูกสาว 2 คน คนโต 9 ขวบ และคนเล็ก 3 ขวบ,,,,,,,,,,1205
1206,ทำนอง,tʰam nɔːŋ,form; manner way,4507,67,เรื่องทำนองนี้เคยเกิดขึ้นเมื่อ 10 ปีที่แล้ว,,,,,,,,,,1206
1207,ประโยค,pràʔ jòːk,sentence,4725,65,ปีนี้มีพระภิกษุสามเณรสอบไล่ได้เปรียญ 9 ประโยคถึง 23 รูป,,,,,,,,,,1207
1208,แล้วแต่,lɛ́ːw tɛ̀ː,up to; depends on,3163,77,"ราคาประมูลเริ่มตั้งแต่ 1,000 กว่าบาท สูงสุด 4,000 กว่าบาท แล้วแต่ทำเล",,,,,,,,,,1208
1209,ลำบาก,lam bàːk,difficult; hardship,2533,81,น้ำท่วมใหญ่ปีนี้มีผู้คนลำบากยากแค้นกันถ้วนทั่วทุกระแหง,,,,,,,,,,1209
1210,สร้างสรรค์,sâːŋ sǎn,create; invent; make,2898,78,เขาได้รับเกียรติว่าเป็นศิลปินดีเด่นแห่งรัฐในฐานะที่เป็นผู้สร้างสรรค์ศิลปะที่มีผลงาน…,,,,,,,,,,1210
1211,มีอายุ,miː ʔaː júʔ,aged; old,2512,81,เมื่อเรามีอายุมากขึ้น ส่วนของการรับรู้สีจะน้อยลง,,,,,,,,,,1211
1212,ภาษี,pʰaː sǐː,tax,4485,67,เขามีภาษีดีกว่าเพราะเรียนจบมาจากเมืองนอก,,,,,,,,,,1212
1213,ป้า,pâː,aunt,5631,58,เมื่อถึงคราวที่แม่ต้องไปต่างจังหวัดนานๆ แม่จะให้ป้ามาคอยดูแลหนูนาเสมอ,,,,,,,,,,1213
1214,กองทัพ,kɔːŋ tʰáp,"army, troops",2210,84,ในที่สุดกองทัพของนายพลเจียงไคเช็กก็หนีไปตั้งมั่นที่ไต้หวัน,,,,,,,,,,1214
1215,คุณแม่,kʰun mɛ̂ː,mother,3820,72,คุณแม่เป็นผู้หญิงที่ทำอาหารอร่อยที่สุด,,,,,,,,,,1215
1216,โกรธ,kròːt,angry,4245,68,ผมโกรธที่เขาหักหน้าผมกลางที่ประชุม,,,,,,,,,,1216
1217,กล้อง,klɔ̂ːŋ,camera,1854,86,ผมยกกล้องขึ้นเพื่อเริ่มบันทึกภาพถ่ายในงาน,,,,,,,,,,1217
1218,ภาพยนตร์,pʰâːp pʰá jon,movie,5093,62,ทีมงานสร้างภาพยนตร์ชุดใหม่ทำงานได้ดีดังใจนึกสมใจผู้กำกับมือหนึ่ง,,,,,,,,,,1218
1219,จินตนาการ,tɕin tà naː kaːn,imagine,1727,87,สุนทรภู่เป็นกวีที่มีจินตนาการกว้างไกลมาก,,,,,,,,,,1219
1220,แฟน,fɛːn,"fan; boyfriend, girlfriend",5345,60,นักมวยออกหมัดรุกไล่คู่ชกเรียกเสียงโห่ฮาจากแฟนมวยรอบสนามได้ทุกระยะ,,,,,,,,,,1220
1221,ทรัพย์สิน,sáp sǐn,capital; asset,5648,58,ปี พ.ศ.2112 พม่าถือโอกาสกวาดต้อนทรัพย์สินและเชลยศึก กลับสู่กรุงหงสาวดีเป็นจำนวนมหาศาล,,,,,,,,,,1221
1222,สว่าง,sà wàːŋ,bright; shining,2739,79,สีของรองพื้นทำให้หน้าของนางแบบสว่างขึ้น,,,,,,,,,,1222
1223,หลับ,làp,asleep,4548,66,ถ้าคืนใดหลวงพ่อไม่ได้ยินเสียงกลองแล้วท่านนอนไม่หลับ,,,,,,,,,,1223
1224,ทางเลือก,tʰaːŋ lɯ̂ːak,alternative; choice,1991,85,การเดินทางเข้ากรุงเทพฯ ดูเหมือนจะเป็นทางเลือกเดียวที่เขาพอจะทำได้,,,,,,,,,,1224
1225,ยุติธรรม,jút tìʔ tʰam,fair; just,2733,79,เจ้าหน้าที่ควบคุมการเลือกตั้งให้เป็นไปอย่างยุติธรรม ไม่มีการซื้อเสียง,,,,,,,,,,1225
1226,ยศ,jót,rank; title,1773,87,เขามียศเป็นถึงพลโท ใครๆ ก็กลัวเกรงเขาทั้งนั้น,,,,,,,,,,1226
1227,ก่อให้เกิด,kɔ̀ː hâj kɤ̀ːt,cause; produce,4436,67,จำนวนคนว่างงานที่เพิ่มสูงขึ้นทุกขณะอาจจะก่อให้เกิดปัญหาอาชญากรรม,,,,,,,,,,1227
1228,จัดตั้ง,tɕàt tâŋ,establish,3924,70,องค์การสหประชาชาติได้จัดตั้งองค์กรต่างๆ ขึ้นมา เพื่อรองรับตามสายงานแต่ละเป้าหมาย,,,,,,,,,,1228
1229,ขวา,kʰwǎː,right,2540,81,การฟังเรื่องที่ครูสอนแบบทะลุหูซ้ายออกหูขวาไม่จัดว่าเป็นการเรียนรู้,,,,,,,,,,1229
1230,ทางออก,tʰaːŋ ʔɔ̀ːk,exit,1349,90,หมู่บ้านนี้อยู่ใกล้ๆ กับทางออกสู่ทะเลบริเวณปากแม่น้ำ,,,,,,,,,,1230
1231,เบา,baw,light,6207,53,เขาหัวเราะเบาๆ ด้วยความสุขใจ เมื่อนึกย้อนกลับไปเห็นภาพเก่าๆ ในอดีตอีกครั้ง,,,,,,,,,,1231
1232,โค้ง,kʰóːŋ,bow; bend; incline,1511,89,สุภาพบุรุษโค้งสุภาพสตรีเพื่อขอเต้นรำ,,,,,,,,,,1232
1233,ครอง,kʰrɔːŋ,put on; possess,1880,86,พระบวชใหม่ครองผ้าเองยังไม่เป็น,,,,,,,,,,1233
1234,กาล,kaːn,time; era; tense (grammar),1635,88,คนเราต้องแก่ไปตามกาล,,,,,,,,,,1234
1235,เรียกร้อง,rîːak rɔ́ːŋ,demand,4330,67,คนกรุงเทพฯ เรียกร้องให้รัฐบาลแก้ปัญหาจราจร,,,,,,,,,,1235
1236,ค่าใช้จ่าย,kʰâː tɕʰáj tɕàːj,charge; cost,3745,71,วิธีการนี้ทำให้ประหยัดทั้งเวลาและค่าใช้จ่ายในการเดินทาง,,,,,,,,,,1236
1237,ล้ม,lóm,abolish; die; fall down,2312,82,พวกเขาทำเช่นนี้ก็เพื่อจะล้มโครงการ,,,,,,,,,,1237
1238,วงการ,woŋ kaːn,circle,2706,79,Aristotle มีอิทธิพลต่อวงการศึกษา และวงการนักปรัชญาศาสนามาเป็นเวลานาน,,,,,,,,,,1238
1239,สาธารณะ,sǎː tʰaː rá náʔ,public; a public place,2562,80,การตั้งคำถามต่อสาธารณะเช่นนี้ ชี้ให้เห็นว่าเขากำลังยึดติดกับอดีต,,,,,,,,,,1239
1240,กลาย,klaːj,become,1353,90,จากที่เคยเป็นเพื่อนสนิทคบหากันมานานแสนนาน ทั้งคู่กลายมาเป็นศัตรูที่พร้อมจะเชือดเฉือนกันได้ทุกเวลา,,,,,,,,,,1240
1241,ศักดิ์,sàk,prestige; power; honour,3188,76,ในกรุงเทพฯ ทุกคนต้องแย่งกันทำมาหากิน แย่งกันมีหน้ามีตา มียศ มีศักดิ์,,,,,,,,,,1241
1242,ตื่น,tɯ̀ːn,to awaken,4173,68,เขามักตื่นวิชาเสมอ ไม่ว่าจะมีการบรรยายทางวิชาการที่ไหนเขาต้องไปเกือบทุกที่,,,,,,,,,,1242
1243,หวาน,wǎːn,sweet,4426,66,น็อตตัวนี้เกลียวหวานเสียแล้ว,,,,,,,,,,1243
1244,ทับ,tʰáp,overlay; put on top,1909,85,สมศรีนำก้อนหินสวยๆ มาทับกระดาษ,,,,,,,,,,1244
1245,อิทธิพล,ʔìt tʰíʔ pʰon,influence,5423,58,ผู้มีอิทธิพลทั้งหลายต้องมีการ์ดคอยคุ้มครองอารักขาเวลาเดินทาง,,,,,,,,,,1245
1246,ไก่,kàj,chicken,3067,76,มีการชักชวนให้คนไทยเลี้ยงไก่ไว้กินไข่,,,,,,,,,,1246
1247,เกรง,kreːŋ,fear; be afraid of,1572,88,บรรดาผู้บริการเกรงว่า การนำรถหุ่นยนต์มาใช้งานจะทำให้คนงานไม่พอใจ,,,,,,,,,,1247
1248,ที่จริง,tʰîː tɕiŋ,actually; in fact,2186,83,ที่จริงสมชายเป็นคนดีกว่าที่เราคิดเอาไว้,,,,,,,,,,1248
1249,ใกล้เคียง,klâj kʰiːaŋ,"similiar to, resemble",2244,83,ลูกสาวมีหน้าตาใกล้เคียงกับคุณพ่อมาก,,,,,,,,,,1249
1250,ถัด,tʰàt,next,2372,82,ข้อมูลที่ได้เพิ่มไปนี้สามารถใช้เพื่อช่วยเลือกหาคำตอบถัดไปได้อย่างชาญฉลาด,,,,,,,,,,1250
1251,ลงมือ,loŋ mɯː,start; begin,1691,87,หลังกลับมาถึงเมืองไทยสัปดาห์กว่าๆ เขาเริ่มลงมืออ่านหนังสือต่างๆ ที่ซื้อมาจากอเมริกา,,,,,,,,,,1251
1252,คาด,kʰâːt,forecast; expect,4283,67,ผมเห็นคุณลุงวัยเลยกลางคนตัดผมเกรียน นุ่งผ้าโสร่งไหม ใช้ผ้าขาวม้าคาดเอวลุกขึ้นจากกลุ่มผู้ชมในแถวหน้าๆ เดินดุ่มออกไป,,,,,,,,,,1252
1253,ยาง,jaːŋ,rubber,1998,84,ขณะแกะสลักน้ำเต้าต้องจุ่มน้ำตลอดเวลามิฉะนั้นจะดำเพราะน้ำเต้ามียางมาก,,,,,,,,,,1253
1254,บริโภค,bɔ̀ʔ ríʔ pʰôːk,consume,3323,74,ประเทศไทยเพาะปลูกข้าวเจ้า เพื่อบริโภคเป็นอาหารหลัก,,,,,,,,,,1254
1255,ไล่,lâj,chase,3106,76,เมื่อเตี่ยทราบข่าวว่าลูกชายถูกไล่ออกจากโรงเรียน เตี่ยรู้สึกเก๊กซิมมากที่เลี้ยงลูกไม่ได้ดี,,,,,,,,,,1255
1256,แถม,tʰɛ̌ːm,"plus, added",4649,63,แม่ค้าแถวนี้ใจดี มักจะแถมให้เกินที่ซื้อเสมอ,,,,,,,,,,1256
1257,ผลประโยชน์,pʰǒn pràʔ jòːt,interests; benefits; profit,4056,68,ขบวนการพูโลได้เกิดการแตกแยกอย่างรุนแรงในเรื่องของผลประโยชน์ที่ไม่ลงตัว,,,,,,,,,,1257
1258,หนาว,nǎːw,cold,3376,73,ประเทศนอร์เวย์จัดเป็นประเทศที่อยู่ในเขตหนาว,,,,,,,,,,1258
1259,ปรารถนา,pràːt tʰà nǎː,to wish for; to desire,2840,78,การตายเป็นสิ่งที่ไม่มีใครปรารถนา แต่ก็เป็นสิ่งที่ทุกคนหนีไม่พ้นไม่ว่าจะมั่งมีหรือยากจนเพียงใด,,,,,,,,,,1259
1260,นัด,nát,shot; appointment; date,3680,71,พนักงานขายที่ดีต้องไปตามนัดทุกครั้ง,,,,,,,,,,1260
1261,หลาน,lǎːn,grandchild,3182,75,ภาพอาการงอนง้อระหว่าง 2 น้าหลาน จึงปรากฏลางๆ ออกมา,,,,,,,,,,1261
1262,จนกว่า,tɕon kwàː,"until, till, as far as",2100,83,ข้อมูลที่บันทึกบนดิสก์จะเก็บไว้ได้จนกว่าจะมีการอัดข้อมูลใหม่ทับลงไป,,,,,,,,,,1262
1263,ความเชื่อ,kʰwaːm tɕʰɯ̂ːa,faith,4532,64,คนไทยมีความเชื่อในเรื่องผีสางเทวดามาช้านานแล้ว,,,,,,,,,,1263
1264,ทฤษฎี,tʰrít sà diː,theory,6795,46,รูปแบบโครงร่างของทฤษฎีทางภาษาศาสตร์จะเป็นอย่างไรนั้น จะต้องทดสอบกันอีกมาก,,,,,,,,,,1264
1265,พระราชบัญญัติ,pʰráʔ râːt tɕʰá ban jàt,act; bill,7911,37,พระราชบัญญัติว่าด้วยธุรกรรมทางอิเล็กทรอนิกส์ออกในเดือนธันวาคม พ.ศ. 2544,,,,,,,,,,1265
1266,ใส,sǎj,clear,3762,70,เด็กสาวนั่งส่งเสียงหวานใส ครวญเพลงคลอเคล้ากับระนาดเอกด้วยท่าทีเอียงอาย,,,,,,,,,,1266
1267,เรียบ,rîːap,smooth; orderly,2807,78,กระเพาะปัสสาวะเป็นอวัยวะที่มีผนังเป็นกล้ามเนื้อเรียบ อยู่หลังหัวเหน่า,,,,,,,,,,1267
1268,เปรียบเทียบ,prìːap tʰîːap,compare,5054,60,เราจะตีความหมายงานศิลปะได้โดยเปรียบเทียบกับงานของผู้อื่นซึ่งทำให้เราสามารถวัดคุณค่าของงานชิ้นนั้นได้,,,,,,,,,,1268
1269,เงื่อนไข,ŋɯ̂ːan kʰǎj,condition,4917,61,เรามีเงื่อนไขทางสังคมว่าต้องเคารพในสิ่งของของผู้อื่น,,,,,,,,,,1269
1270,ประชา,pràʔ tɕʰaː,citizens; people,1562,88,ชาวประชาต่างสรรเสริญรัฐบาลที่ทำให้เศรฐกิจดีขึ้น,,,,,,,,,,1270
1271,ประดับ,pràʔ dàp,decorate; adorn,1894,85,เธอเก็บดอกไม้ป่าเหล่านี้มาประดับโต๊ะอาหาร,,,,,,,,,,1271
1272,เตือน,tɯːan,warn,2799,78,พ่อแม่เตือนลูกให้ระวังอันตรายระหว่างที่ไปเที่ยวป่า,,,,,,,,,,1272
1273,บวก,bùːak,add; plus,2031,84,เรื่องนี้เราควรพิจารณาทั้งแง่บวกและแง่ลบ,,,,,,,,,,1273
1274,เหรอ,rɤ̌ː,really?,8205,34,เธอใช้เงินหมดแล้วเหรอ ตั้งสองหมื่นบาท,,,,,,,,,,1274
1275,นับถือ,náp tʰɯ̌ː,respect,2932,76,คนไทยนับถือพระเจ้าสิทธัตถะ,,,,,,,,,,1275
1276,เจ็บ,tɕèp,pain; to hurt,4113,67,ความโหดร้ายที่เขากระทำกับผม ทำให้ผมเจ็บมานานหลายปี,,,,,,,,,,1276
1277,คลอง,kʰlɔːŋ,canal,2349,81,คลองแสนแสบเดี๋ยวนี้ไม่เหมือนเมื่อก่อน,,,,,,,,,,1277
1278,เปอร์เซ็นต์,pɤː sen,percent,1785,86,โอกาสที่พรรคจะปักฐานทางการเมืองบนสนามท้องถิ่นมีเปอร์เซ็นต์ค่อนข้างมากทีเดียว,,,,,,,,,,1278
1279,อก,ʔòk,breast; chest,3518,71,การตกจากที่สูงและหกล้มรุนแรงอาจทำอันตรายต่อแนวอกของกระดูก,,,,,,,,,,1279
1280,พลิก,pʰlík,turn; turn over,1820,85,ถ้าต้องการอ่านเรื่องนั้นเรื่องนี้เพิ่มเติมแล้วให้พลิกหน้าไปยังหน้า 9 เพื่ออ่านเพิ่มเติมได้,,,,,,,,,,1280
1281,ไหว,wǎj,shake; tremble; be able,3595,71,พอมีเสียงระเบิดขึ้นเรือนก็ไหวไปทั้งหลัง,,,,,,,,,,1281
1282,เพชร,pʰét,diamond,4782,61,ฉันชอบเพชรรูปหยดน้ำ มันดูมีเสน่ห์ดี,,,,,,,,,,1282
1283,ถึงกับ,tʰɯ̌ŋ kàp,so as; so that; as the result,2425,80,ผู้ป่วยโรคจิตบางคนไม่ยอมไปพบแพทย์ การขัดขืนบางครั้งรุนแรงถึงกับใช้กำลังกาย,,,,,,,,,,1283
1284,ห่วง,hùːaŋ,worried,4361,65,หล่อนเห็นชายสามสี่คนแบกโซ่และห่วงเหล็กตรงเข้ามา,,,,,,,,,,1284
1285,ตัวแทน,tuːa tʰɛːn,agent; representative; replacement,3204,74,เมื่อสัปดาห์ที่ผ่านมามีการเจรจาระหว่างตัวแทนของรัฐบาลกับกลุ่มสมัชชาคนจนในเรื่องการขอขึ้นราคาข้าว,,,,,,,,,,1285
1286,กู,kuː,I,3455,72,กูกำลังฝันดีว่ากำลังบินอยู่พอดี,,,,,,,,,,1286
1287,ธนาคาร,tʰá naː kʰaːn,bank,4447,64,ธนาคารชาติให้ขึ้นดอกเบี้ย แต่ไม่มีการดำเนินการตั้งแต่ปลายปี 2532,,,,,,,,,,1287
1288,นำเข้า,nam kʰâw,import,3851,69,บริษัทเรานำเข้าสินค้าประเภทนี้เป็นรายแรกของเมืองไทย,,,,,,,,,,1288
1289,ตอนนั้น,tɔːn nán,then,3391,72,ในอดีตนักศึกษา มธ. ตั้งเวทีอภิปรายตรงหน้าตึกเอนกประสงค์ซึ่งตอนนั้นยังเป็นเพียงตึกสองชั้นต่อเนื่องกับตึกโดม,,,,,,,,,,1289
1290,ปรึกษา,prɯ̀k sǎː,consult,4055,67,คนไทยเริ่มปรึกษาจิตแพทย์มากยิ่งขึ้น,,,,,,,,,,1290
1291,ทดสอบ,tʰót sɔ̀ːp,test,2635,78,นักวิทยาศาสตร์ทดสอบยาที่ทำขึ้นว่ามีผลข้างเคียงหรือไม่,,,,,,,,,,1291
1292,ชำระ,tɕʰam ráʔ,pay off debts; clean,4175,66,ผู้เช่าไม่ได้ชำระค่าเช่าบ้านเป็นเวลาสองเดือนแล้ว,,,,,,,,,,1292
1293,ลบ,lóp,delete; minus,2569,79,ถ้าลบความรู้สึกเหล่านี้ไปได้ คุณก็จะมีความสุข,,,,,,,,,,1293
1294,ยักษ์,ják,giant,1766,85,ในละครของเรามียักษ์มาร่ายเวทด้วย,,,,,,,,,,1294
1295,ลงทุน,loŋ tʰun,invest,2911,76,รัฐบาลนำเงิน 1 ล้านปอนด์มาลงทุนสร้างทางรถไฟสายลพบุรี-อุตรดิตถ์,,,,,,,,,,1295
1296,วัง,waŋ,palace; to encircle,2653,78,คนที่ทำงานในวังล้วนเป็นข้าราชบริพารทั้งนั้น,,,,,,,,,,1296
1297,ทั้งนั้น,tʰáŋ nán,all; every,2817,77,ทุกคนล้วนแล้วแต่เป็นเพื่อนกันทั้งนั้น,,,,,,,,,,1297
1298,เท่าไร,tʰâw raj,how much; how many,1877,84,ยิ่งเราเข้าใจประสบการณ์ของมนุษย์มากขึ้นเท่าไร เราก็ยิ่งเข้าใจอธิบาย และทำนายพฤติกรรมของมนุษย์ได้มากเท่านั้น,,,,,,,,,,1298
1299,ฉะนั้น,tɕʰàʔ nán,thereupon; therefore,3384,72,เธอเป็นคนพูดตรง ฉะนั้นอย่าไปถือสาอะไรเลย,,,,,,,,,,1299
1300,เทคนิค,tʰék nìk,technique,3341,72,การสร้างผลงานชิ้นนี้เป็นเทคนิคที่แทบไม่น่าเชื่อว่าจะทำได้ถึงรายละเอียดเช่นนี้,,,,,,,,,,1300
1301,ความเร็ว,kʰwaːm rew,speed,1293,89,รถแล่นด้วยความเร็ว 120 กิโลเมตรต่อชั่วโมง,,,,,,,,,,1301
1302,ดัน,dan,push,3655,70,ผู้จัดการฝ่ายบุคคลดันให้ผู้ช่วยหัวหน้าฝ่ายการผลิตขึ้นเป็นหัวหน้าฝ่ายการผลิต,,,,,,,,,,1302
1303,บันได,ban daj,staircase,2505,79,ในการขึ้นบันไดเราควรชิดขวา,,,,,,,,,,1303
1304,แต่ว่า,tɛ̀ː wâː,however; but,2507,79,เขาได้แต่งงานกับคนที่เขารัก แต่ว่าเขาไม่มีความสุขเพราะผู้หญิงคนนั้นไม่ได้รักเขา,,,,,,,,,,1304
1305,วิทยา,wít tʰá jaː,science; knowledge,2918,76,การศึกษาเรื่องศาสนาสามารถศึกษาได้ทั้งแนววิทยาศาสตร์ และแนวแห่งความเชื่อเกี่ยวกับหลักทางปรัชญา,,,,,,,,,,1305
1306,เดี๋ยว,dǐːaw,soon; shortly,5710,52,ลูกขออนุญาตดูทีวีสักเดี๋ยวก่อนเข้านอน,,,,,,,,,,1306
1307,พระเอก,pʰráʔ ʔèːk,hero; leading actor,1366,89,ม.จ.หญิงวิภาวดีรังสิตนำบุคลิกภาพของเจ้านายหนุ่มองค์นี้ไปสร้างเป็นพระเอกในนวนิยายเรื่องปริศนาอันลือลั่นโด่งดัง,,,,,,,,,,1307
1308,สวม,sǔːam,wear,2845,76,ทันทีที่ผู้บริหารคนเก่าลาออกก็มีคนใหม่เข้ามาสวมตำแหน่งทันที,,,,,,,,,,1308
1309,ปู,puː,crab,2655,78,พ่อแม่กำลังปูที่นอนให้คู่บ่าวสาว,,,,,,,,,,1309
1310,ตรา,traː,"brand, stamp, inprint",2344,80,ตระกูลโอวเป็นเจ้าของยาหม่องตราเสือและหนังสือพิมพ์จีนทั้งในสิงคโปร์ฮ่องกงและประเทศไทย,,,,,,,,,,1310
1311,แม้กระทั่ง,mɛ́ː kràʔ tʰâŋ,even if,1283,89,วันนี้งานยุ่งมาก แม้กระทั่งเวลากินยังแทบจะไม่มี,,,,,,,,,,1311
1312,มั้ย,máj,question particle,6498,46,ในความฝัน คุณว่าคุณถูกยิงที่หน้าผาก แสกหน้า ตายคาที่ใช่มั้ย,,,,,,,,,,1312
1313,ทอด,tʰɔ̂ːt,fried,2409,80,เขานำเรือมาจอดทอดสมอไว้หน้าหาด ใกล้กระท่อม,,,,,,,,,,1313
1314,เหลือง,lɯ̌ːaŋ,yellow,2641,78,คนที่เป็นแม่ขอแต่เพียงได้เกาะชายผ้าเหลืองของลูกก็เหมือนได้ขึ้นสวรรค์,,,,,,,,,,1314
1315,เมตร,mêːt,meter,3144,74,ตลิ่งลำน้ำชีชัน และสูงมากราวๆ 20 เมตร,,,,,,,,,,1315
1316,ถุง,tʰǔŋ,bag,2998,75,ผมต้องทำหน้าที่ทุกอย่างตั้งแต่เขียนบิล เก็บเงิน ทอนเงิน เอาหนังสือใส่ถุง ในบางครั้งยังต้องคอยตอบคำถามของลูกค้าคนอื่นๆ,,,,,,,,,,1316
1317,แข็งแรง,kʰɛ̌ŋ rɛːŋ,strong,2946,75,ลูกชายของเขาดูแข็งแรงขึ้นหลังจากที่ไปเข้าคอร์สเพาะกายมา,,,,,,,,,,1317
1318,ตำหนิ,tam nìʔ,blame; condemn,961,92,เขาไม่สนใจว่าเธอจะเป็นผู้หญิงมีตำหนิมาก่อน,,,,,,,,,,1318
1319,มาตรการ,mâːt tràʔ kaːn,measure,3967,67,กรมอาชีวศึกษามีมาตรการต้านยาเสพติดแนวใหม่,,,,,,,,,,1319
1320,เลข,lêːk,number; digit,1613,86,เด็กผู้ชายส่วนใหญ่มักชอบเรียนเลขมากกว่าวิชาอื่นๆ,,,,,,,,,,1320
1321,สาระ,sǎː ráʔ,content,3163,73,กิจที่จะไปจับผีกันนั้นเป็นเรื่องน่าขันไร้สาระที่สุด,,,,,,,,,,1321
1322,ฉลาด,tɕʰà làːt,"wise, smart",2173,82,การถือว่าเป็นคนเก่ง ต้องอย่าลืมว่าฉลาดแต่อย่างเดียวเท่านั้นไม่พอ ต้องเฉลียวด้วย,,,,,,,,,,1322
1323,อนามัย,ʔà naː maj,sanitation,1371,88,รัฐบาลได้เอาใจใส่กับอนามัยของประชาชนมากกว่าครึ่งศตวรรษแล้ว,,,,,,,,,,1323
1324,วิทยุ,wít tʰá júʔ,radio,2749,77,เมื่อภรรยาของข้าพเจ้าทราบข่าวจากวิทยุและหนังสือพิมพ์ เธอก็เป็นลมแล้วฟื้นอยู่หลายครั้ง,,,,,,,,,,1324
1325,ขวบ,kʰùːap,years,1940,84,ลูกของเธออายุจะชนขวบแล้ว,,,,,,,,,,1325
1326,ประสงค์,pràʔ sǒŋ,wish; to desire,3149,73,สินเชื่อนี้จะให้กับลูกค้าที่ประสงค์จะซ่อมแซมตกแต่งที่อยู่อาศัยเท่านั้น,,,,,,,,,,1326
1327,แข็ง,kʰɛ̌ŋ,"solid, hard, strong",2258,81,ต้องรอให้ปูนปลาสเตอร์แข็งกว่านี้อีกถึงจะลงสีได้,,,,,,,,,,1327
1328,หมา,mǎː,dog,3724,68,เสียงเห่าของหมายามค่ำคืนเป็นสิ่งที่สมบุญจะต้องพึ่งพาอาศัยอยู่เสมอ,,,,,,,,,,1328
1329,เศษ,sèːt,fraction; fragments,2257,81,นกพื้นเมืองของคิวบามีลำตัวยาวประมาณสองนิ้ว หนักเพียงเศษหนึ่งส่วนสิบออนซ์,,,,,,,,,,1329
1330,บรรยาย,ban jaːj,describe; lecture; explain,2937,75,ผู้ประสบเหตุกำลังบรรยายเรื่องราวที่เกิดขึ้นให้ตำรวจฟัง,,,,,,,,,,1330
1331,รางวัล,raːŋ wan,award; prize,3668,69,คนเราชอบผู้ที่ให้รางวัลหรือความพึงพอใจแก่เรา มากกว่าผู้ที่ทำให้เราเสียผลประโยชน์,,,,,,,,,,1331
1332,เงียบ,ŋîːap,silent,5257,55,นิภาเงียบไปหลายเดือนแล้ว ไม่รู้ว่าเป็นอย่างไรบ้าง,,,,,,,,,,1332
1333,ตึก,tɯ̀k,building,2901,75,เจ้าของที่ดินมีโครงการจะก่อสร้างตึก 20 หลังบนที่ดินแปลงนี้,,,,,,,,,,1333
1334,ความดี,kʰwaːm diː,goodness,1973,83,ย่ากับฉันช่วยเหลือทำมาหากินช่วยเหลือครอบครัวมาโดยตลอดแต่ความดีไม่เคยเข้าตาอาเลย,,,,,,,,,,1334
1335,มอบ,mɔ̂ːp,assign; commit; entrust,3394,71,ฉันกับน้องช่วยกันมอบปากกระทงให้ดูเรียบร้อยสวยงาม,,,,,,,,,,1335
1336,อบอุ่น,ʔòp ʔùn,warm; friendly,2071,82,บริเวณแถบเขตศูนย์สูตรจะมีอุณหภูมิอบอุ่น มีอาหารอุดมสมบูรณ์สำหรับนกที่อพยพมา,,,,,,,,,,1336
1337,เสียหาย,sǐːa hǎːj,damaged,1997,83,ฟ้าผ่าบ้านคนและต้นไม้ล้มตายเสียหายอย่างหนัก,,,,,,,,,,1337
1338,ไข่,kʰàj,eggs,2581,78,แม่เต่าจะขึ้นมาไข่ไว้บนพื้นทรายที่ค่อนข้างแห้ง,,,,,,,,,,1338
1339,ถึงขนาด,tʰɯ̌ŋ kʰà nàːt,size; magnitude; dimension,1273,89,แตงโมโตมากถึงขนาดยกคนเดียวไม่ไหว,,,,,,,,,,1339
1340,อุปสรรค,ʔùp pà sàk,"obstacle, difficulty",2167,81,ชาวไทยอีสานและชาวลาวเป็น 2 ชนชาติที่ไม่มีอุปสรรคด้านภาษาในการไปมาหาสู่กัน,,,,,,,,,,1340
1341,ไหว้,wâj,to wai (prayer gesture),2657,77,แม่หนูรีบประนมมือไหว้ญาติผู้ใหญ่โดยพ่อไม่ต้องเตือน,,,,,,,,,,1341
1342,ประกัน,pràʔ kan,insure; guarantee,3288,71,หัวหน้าฝ่ายผลิตประกันความสามารถของเขา,,,,,,,,,,1342
1343,แขน,kʰɛ̌ːn,arm,4605,60,ผู้หญิงคนนี้มีแขนเรียวสวยราวกับแขนของนางละคร,,,,,,,,,,1343
1344,สระ,sà ràʔ,pool; wash,2081,82,หงส์คู่หนึ่งบินว่อนรอบสระเพื่อลงกินน้ำ,,,,,,,,,,1344
