Thai,English,Romanization,ipa,Exemple sentence
แพง,expensive,phaeng,pʰɛːŋ,โรงอาหารนี้เป็นโรงอาหารพิเศษที่ขายอาหารราคาแพง สำหรับนักศึกษาและชาวต่างประเทศ
ร้าย,evil,rai,ráːj,ถึงแม้ว่าเขาจะเป็นคนที่คิดถึงแต่ตัวเอง แต่เขาก็ไม่เคยคิดร้ายต่อผู้อื่น
ผี,ghost,phi,pʰǐː,โบราณมักหลอกเด็กว่าเวลาเพล้โพล้จะมีผีมาจับตัวไปจึงไม่ให้เล่นนอกบ้าน
หมายความ,mean,maikhwam,mǎːj kʰwaːm,บริเวณบ้านที่พูดถึงคงไม่ได้หมายความรวมถึงตัวเรือนที่อยู่
รับผิดชอบ,responsible,rapphitchop,ráp pʰìt tɕʰɔ̂ːp,พ่อแม่ควรอบรมเด็กให้ใช้วิจารณญาณในการตัดสินใจ และรับผิดชอบในกรณีที่สมควร
แน่,sure;certain,nae,nɛ̂ː,ถ้าเธอยังขี้เกียจอยู่อย่างนี้ มีหวังสอบตกแน่ๆ
สอบ,exam,sop,sɔ̀ːp,เขาต้องการจะสอบเข้าเรียนในมหาวิทยาลัยมหิดล
นั่นเอง,there; sure enough,nan-eng,nân ʔeːŋ,เสื้อตัวที่หายไปอยู่นั่นเอง หาตั้งนาน
ภายหลัง,after,phailang,pʰaːj lǎŋ,ถ้าปล่อยเด็กคนนี้ไป เขาอาจสร้างปัญหาในภายหลังให้เราก็ได้
เพียงพอ,sufficient,phiangpho,pʰiːaŋ pʰɔː,เขาเพียงพอแล้วที่มีบ้านหลังเล็กๆ เป็นของตัวเองและได้อยู่กับครอบครัวที่อบอุ่น
แท้,genuine,thae,tʰɛ́ː,ความชื้นในไม้นิยมแสงเป็นค่าส่วนร้อยของน้ำหนักของเนื้อไม้แท้ๆ
ชื่อเสียง,reputation,chuesiang,tɕʰɯ̂ː sǐːaŋ,บ้านเชียงเป็นแหล่งโบราณคดีสำคัญที่มีชื่อเสียงกระฉ่อนไปทั่วโลก
กาย,body,kai,kaːj,ผู้ชายคนนั้นมีกายใหญ่โตราวยักษ์ปักหลั่น
ล่วงหน้า,"in advance, beforehand",luangna,lûːaŋ nâː,อยู่ๆ เราก็ได้คนนำทางโดยไม่ได้คิดล่วงหน้า
แล,look at; watch; truly,lae,lɛː,สองตาฉันยังไม่อยากจะแลลูกชายคนนี้เลยว่าสุขทุกข์อย่างไร
ต่อเนื่อง,"to continue, carry on; continually",tonueang,tɔ̀ː nɯ̂ːaŋ,ในทางเกษตรกรรมการรักษาความอุดมสมบูรณ์ของดินส่งผลต่อความเจริญงอกงามแก่พืชพรรณอย่างต่อเนื่องและยืนยาว
ดูเหมือน,seems,dumuean,duː mɯ̌ːan,การเดินทางเข้ากรุงเทพฯ ดูเหมือนจะเป็นทางเลือกเดียวที่เขาพอจะทำได้
ทั้งสิ้น,whole; all; entire,thangsin,tʰáŋ sîn,วรรณกรรมจำนวนมาก ล้วนแต่เป็นเรื่องอิทธิพลของความรักทั้งสิ้น
โดน,hit; (passive voice),don,doːn,ใจของเขาร้อนรนเหมือนโดนไฟเผา
เสริม,supplement; add,soem,sɤ̌ːm,รัฐบาลกระตุ้นเศรษฐกิจด้วยการเปิดโอกาสให้ชาวต่างชาติเข้ามาลงทุนในประเทศเพื่อเสริมให้การผลิตขยายตัว
ปัญญา,wit; wisdom; intelligence,panya,pan jaː,การพัฒนาด้านความคิดความเข้าใจเป็นแนวคิดที่ใกล้เคียงกับพัฒนาการทางปัญญาซึ่งพ่อแม่ในยุคปัจจุบันมักจะให้ความสนใจมาก
ชา,tea,cha,tɕʰaː,ประเพณีที่ชาวญี่ปุ่นถือว่าเป็นพิธีศักดิ์สิทธิ์คือพิธีชงชา
คำสั่ง,command,khamsang,kʰam sàŋ,อธิบดีกรมตำรวจมีคำสั่งให้โยกย้ายนายตำรวจทั่วประเทศ
เช้า,morning,chao,tɕʰáːw,เช้าของทุกวันเด็กบ้านนี้จะตักบาตรก่อนไปโรงเรียน
คา,to obstruct; to be stuck,kha,kʰaː,ลูกขนไก่คาอยู่บนกิ่งมะม่วง ยังไม่มีใครปีนขึ้นไปเก็บลงมา
สมบูรณ์,complete; perfect,sombun,sǒm buːn,หลังจากเก็บเกี่ยวต้นข้าวโพดแล้ว เกษตรกรจะคัดแยกต้นที่สมบูรณ์แข็งแรงออกมาก่อน
หน่วยงาน,institute,nuai-ngan,nùaj ŋaːn,กรมอัยการเป็นหน่วยงานที่มีส่วนร่วมในการให้ความคุ้มครองสิทธิเสรีภาพของประชาชน
คุ้นเคย,familiar; intimate,khunkhoei,kʰún kʰɤːj,คนอินเดียส่วนใหญ่ยังเป็นชาวชนบทที่ไม่คุ้นเคยกับรถยนต์
ประธาน,president; chief,prathan,pràʔ tʰaːn,ประธานบริษัทจัดงานเลี้ยงต้อนรับพนักงานใหม่
กรรม,deed; karma,kam,kam,ทุกคนเกิดมาเพื่อใช้กรรมเก่า
ฐาน,base,than,tʰǎːn,ฐานยิงจรวดของสหรัฐอยู่ที่ฟลอริด้า
นาม,name; a noun,nam,naːm,พระเอกลิเกชื่อดังมีนามว่าสมศักดิ์ ภักดี
เรียง,arrange; order; compose,riang,riːaŋ,เจ้าหน้าที่ช่วยกันเรียงแฟ้มขึ้นชั้น
เหล่านั้น,those,laonan,làw nán,คนส่วนใหญ่มักไม่ค่อยยอมออกกายบริหาร ทั้งนี้เป็นเพราะเขาเหล่านั้นละอาย หรือกลัวเพื่อนหัวเราะ
เคารพ,respect; to respect,khaorop,kʰaw róp,นักเรียนควรเคารพครูบาอาจารย์ทุกคนอย่างเท่าเทียมกัน
แจ้ง,inform,chaeng,tɕɛ̂ːŋ,คราวนี้ทุกคนคงแจ้งซะทีว่าคนที่อยู่เบื้องหลังการฆาตกรรมคือใคร
กรม,department (government),krom,krom,จากผลสำรวจพบว่าเจ้าหน้าที่ของกรมการบินพลเรือนทหารบางนายไม่เห็นด้วยกับร่างกฎหมายการบินฉบับแก้ไขใหม่
กฎ,rule; regulation,kot,kòt,ตัวเลขที่ใช้มีเพียงศูนย์และหนึ่งเท่านั้น กฎการคำนวณจึงง่าย
รอง,"secondary, vice-; support from below",rong,rɔːŋ,ถ้าเป็นเรื่องอย่างนี้แล้ว เขาไม่รองใครแน่
ยังไง,any way; whichever way,yangngai,jaŋ ŋaj,คุณจะรู้ได้ยังไงว่าจะเกิดอะไรขึ้นในอนาคต
ยื่น,reach; stick out,yuen,jɯ̂ːn,ฝ่ายรัฐบาลได้ยื่นคำแถลงเป็นหนังสือต่อศาลรัฐธรรมนูญ
ระบาย,"paint, release",rabai,ráʔ baːj,หากระบายสีเขียวเข้าไป ภาพนี้ก็คงจะเหมือนจริงขึ้นอีก
ยาม,guard; time,yam,jaːm,การนวดถือว่าเป็นการบำบัดดูแลสุขภาพในยามเจ็บป่วยวิธีหนึ่ง
พักผ่อน,rest,phakphon,pʰák pʰɔ̀ːn,เราควรออกกำลังกาย บริโภคอาหารให้ถูกสุขลักษณะ และพักผ่อนให้เพียงพอ
รูปร่าง,shape,ruprang,rûːp râːŋ,ผู้หญิงพยายามเข้มงวดในการกินอาหารเพื่อไม่ให้รูปร่างอ้วนเผละ
เอกชน,private,ekkhon,ʔèːk kà tɕʰon,คดีแพ่งเป็นเรื่องระหว่างเอกชนต่อเอกชน
พฤติกรรม,behavior,phruetikam,pʰrɯ́ʔ tìʔ kam,คนใกล้ชิดของหมอเปรม 2 คน เป็นผู้ที่มีพฤติกรรมน่าสงสัย
ภัย,disaster,phai,pʰaj,หากเราไม่ปฏิบัติตามคำสั่งอาจจะมีภัยมาถึงตัวเองอย่างแน่นอน
สื่อ,media,sue,sɯ̀ː,เราเรียนภาษาเพื่อสื่อข่าวสารกันมากกว่าเพื่อจะได้สืบต่อและสร้างสรรค์วัฒนธรรมทางภาษา
อุปกรณ์,equipment,upakon,ʔùʔ pà kɔːn,สถาบันราชภัฏยังขาดแคลนวัสดุอุปกรณ์ในการจัดการศึกษาและเทคโนโลยีช่วยสอนจำนวนมาก
จังหวะ,rhythm; appropriate occasion,changwa,tɕaŋ wàʔ,เมื่อได้จังหวะที่เหมาะสม เราก็ต้องรีบจัดการแก้ปัญหาอย่างรวดเร็ว
ท่า,position; posture,tha,tʰâː,สุทิตายืนรอเรือที่ท่า
เกษตร,farming; cultivated land,kaset,kà sèːt,ประเทศจีนที่มีการปฏิรูปชนบททำให้การทำงานด้านเกษตรมีลักษณะยืดหยุ่นมากขึ้น
สถานี,station,sathani,sà tʰǎː niː,เครื่องรับส่งวิทยุของพระองค์ท่านสามารถติดต่อได้กับสถานีต่างๆ ทั่วประเทศ
ที่ผ่านมา,ago,thiphanma,tʰîː pʰàːn maː,นี่ถือเป็นการเยือนสหรัฐครั้งแรกของผู้นำหมีขาวในรอบศตวรรษที่ผ่านมาเพื่อรื้อฟื้นความสัมพันธ์ระหว่างประเทศ
จำกัด,ltd.; limit; confine; constrict,chamkat,tɕam kàt,แหล่งการศึกษาไม่จำกัดอยู่ที่โรงเรียนเท่านั้น แต่ยังรวมถึงสถาบันต่างๆ ในสังคม
เทคโนโลยี,technology,theknoloiyi,tʰêːk noː loː jiː,ปัจจุบันเทคโนโลยีพลังงาน เป็นเทคโนโลยีที่มีบทบาทในการพัฒนาอุตสาหกรรมในประเทศไทย
สำนักงาน,office; bureau,samnakngan,sǎm nák ŋaːn,ปัญหาเช่นนี้มักเกิดขึ้นบ่อยครั้งในสำนักงานของเรา
เสื้อ,shirt,suea,sɯ̂ːa,เด็กเล็กๆ ไม่ควรใส่เสื้อหนา หรือถูกห่อหุ้มด้วยผ้าที่ระบายอากาศไม่ได้
อาคาร,building,akhan,ʔaː kʰaːn,เมืองเก่าๆ ในยุโรปบางประเทศจะมีแต่อาคารเก่าๆ ถนนหนทางแคบๆ ปูเต็มไปด้วยอิฐ หรือก้อนหิน
แรงงาน,labor,raengngan,rɛːŋ ŋaːn,การพัฒนาโปรแกรมเป็นงานที่ต้องใช้เวลาและแรงงานมาก
ดาว,star,dao,daːw,ผมดีใจมากในครั้งแรกเมื่อได้รับการประดับดาวสีทองบนบ่าข้างละ 1 เม็ดและกระบี่นายทหารสัญญาบัตร 1 เล่ม
ดวง,spherical object,duang,duːaŋ,ดวงอาทิตย์เป็นลูกไฟดวงใหญ่ที่มีความร้อนอย่างมากมายมหาศาล
ซา,to subside; abate; calm down,sa,saː,ฝนซาเม็ดแล้ว แต่อากาศก็เริ่มเยือกเย็นลงทีละน้อย
ท้องถิ่น,local,thongthin,tʰɔ́ːŋ tʰìn,การร่วมมือในท้องถิ่นเอเซียอาคเนย์ได้เริ่มขึ้นแล้ว
เช่นนั้น,such; like that,chennan,tɕʰên nán,การกระทำเช่นนั้นไม่เป็นผลดีกับใคร
นิสัย,habit; temper; behaviour,nisai,níʔ sǎj,เราอยู่ร่วมกันอย่างมีความสุขเพราะมีนิสัยโอบอ้อมอารีเหมือนกัน
เสียก่อน,before; beforehand,siakon,sǐːa kɔ̀ːn,ก่อนจะก่ออิฐต้องนำอิฐไปจุ่มน้ำหรือราดน้ำให้เปียกชุ่มเสียก่อน
ปัจจัย,factor; cause,patchai,pàt tɕaj,ปัจจัยที่มีอิทธิพลต่อการแสดงพฤติกรรมของบุคคลออกเป็น 3 ประเภทคือ ปัจจัยทางด้านชีววิทยา ปัจจัยด้านจิตใจปัจจัยทางด้านสังคม
ฝึก,train; practice,fuek,fɯ̀k,เด็กนักเรียนจะต้องฝึกปฏิบัติธรรม สวดมนต์ นั่งทำสมาธิเพื่อความสงบของจิตใจ
สยาม,Siam,sayam,sà jǎːm,เชียงใหม่เริ่มเปิดประตูความสัมพันธ์กับภาคกลางของสยาม
ประวัติศาสตร์,history,prawattisat,pràʔ wàt sàːt,พรรคการเมืองอเมริกันมีประวัติศาสตร์ยาวนานไม่แพ้พรรคการเมืองยุโรป
ค้นหา,search; look,khonha,kʰón hǎː,ตำรวจค้นหาหลักฐานเพื่อนำมาประกอบการตัดสินคดี
ระบุ,specify,rabu,ráʔ bùʔ,ผู้ถูกประเมินจะต้องระบุปฏิกิริยา หรือคำตอบของเขาลงไปในแบบสอบถาม
เครื่องมือ,tool,khrueangmue,kʰrɯ̂ːaŋ mɯː,มนุษย์สามารถทำให้คอมพิวเตอร์เป็น เครื่องมือมหัศจรรย์ที่แก้ปัญญาได้ทุกรูปแบบ
ลืม,forget,luem,lɯːm,ผมเกือบลืมเรื่องนี้ไปแล้ว
ดำรง,permament; sustain,damrong,dam roŋ,ประเพณีไทยจะดำรงต่อไปถ้าคนไทยช่วยกันส่งเสริมและรักษาไว้
ศูนย์,zero; center,sun,sǔːn,ในเลขฐานสิบ เราจะมีตัวเลขจาก 0 ถึง 9 ซึ่งมีค่าจากศูนย์ถึงเก้า…
สูบ,"pump, smoke",sup,sùːp,น้ำดิบที่สูบขึ้นมาจากแม่น้ำเจ้าพระยาต้องผ่านการบำบัด และตรวจมาตรฐานก่อนที่จะสูบจ่ายบร
รับรู้,recognize; be aware of,rapru,ráp rúː,ครูเล่าถึงพฤติกรรมและผลการเรียนของเด็กให้ผู้ปกครองรับรู้
น่าสนใจ,interesting,nasonchai,nâː sǒn tɕaj,ภาพยนต์เกี่ยวกับวิทยาศาสตร์เป็นเรื่องที่น่าสนใจสำหรับเด็กยุคใหม่
อิสระ,independent,isara,ʔìt sà ràʔ,อังกฤษจัดตั้งคูเวตเป็นรัฐอิสระเมื่อพ.ศ.2442
สิ่งแวดล้อม,environment,singwaetlom,sìŋ wɛ̂ːt lɔ́ːm,ลวดลายส่วนใหญ่ของไทยได้รับแรงบันดาลใจจากสิ่งแวดล้อมจากธรรมชาติ
ข้างหน้า,in front,khangna,kʰâːŋ nâː,ผู้หญิงที่นั่งข้างหน้าผมเป็นภรรยานายก
หมื่น,ten thousand,muen,mɯ̀ːn,เขาสมนาคุณค่าเขียนให้ผมจำนวนหนึ่งหมื่นบาท
อ้าง,claim,ang,ʔâːŋ,นายกรัฐมนตรีใช้อำนาจยุบสภาผู้แทนราษฎรโดยอ้างว่าเพื่อให้เป็นไปตามความต้องการของประชาชน
สัมภาษณ์,interview,samphat,sǎm pʰâːt,นักการเมืองออกมาให้สัมภาษณ์หนังสือพิมพ์และพูดจากลับไปกลับมา จนนักข่าวงง
บริสุทธิ์,pure; innocent; virgin,borisut,bɔ̀ʔ ríʔ sùt,เพราะความรู้เท่าไม่ถึงการณ์ ทำให้หญิงสาวหลายคนต้องเสียความบริสุทธิ์ไป
ถวาย,to give; offer; present,thawai,tʰà wǎːj,ผมตื่นแต่เช้าช่วยแม่เตรียมอาหารถวายพระ
สายตา,sight,saita,sǎːj taː,พออายุมากขึ้นก็จะเริ่มมีปัญหาเกี่ยวกับสายตาอย่างหลีกเลี่ยงไม่ได้
ปรับปรุง,adjust; improve,prapprung,pràp pruŋ,เกษตรกรควรขอคำแนะนำจากนักวิชาการด้านดินเพื่อปรับปรุงดินให้เหมาะต่อการทำทุ่งหญ้า
ติ,blame; criticize,ti,tìʔ,ผู้จัดการติพนักงานที่มาสายในวันนี้
แตก,broken,taek,tɛ̀ːk,เมื่อแผ่นดินทรุด หินแผ่นใหญ่ก็เลยแตกและทรุดตัวลง
บุตร,child,but,bùt,บิดามารดามีสิทธิที่จะเลือกการศึกษาที่เหมาะสมสำหรับบุตรของตน
พนักงาน,employee; official,phanakngan,pʰá nák ŋaːn,ผู้หญิงบ้านนอกมักจะนิยมเข้ามาเป็นพนักงานเสิร์ฟตามร้านอาหาร
แข่งขัน,compete,khaengkhan,kʰɛ̀ŋ kʰǎn,น้องชายของฉันเข้าแข่งขันในครั้งนี้ด้วย
ตรงข้าม,opposite,trongkham,troŋ kʰâːm,โรงเรียนนี้เปิดสอนทั้งภาษาไทยและภาษาอังกฤษ อยู่ทางฝั่งธนบุรีตรงข้ามวัดม่วงแค
พอสมควร,reasonably; moderately,phosomkhwon,pʰɔː sǒm kʰuːan,การกู้วิกฤติต้องมองให้รอบคอบ และลึกพอสมควร
ขัง,imprison; confine,khang,kʰǎŋ,เจ้าหน้าที่ตำรวจขังผู้ต้องสงสัยในคุกไว้ชั่วคราว
หน่อย,a bit; somewhat,noi,nɔ̀ːj,คนขายของบอกให้คนซื้อรอหน่อยเพราะต้องวิ่งไปเอาสินค้าคลัง
กร,worker; hand; sunlight,kon,kɔːn,พระนารายณ์มีกร 4 กร
อย่างไรก็ตาม,anyway; whichever way,yangraikotam,jàːŋ raj kɔ̂ː taːm,ในการรบครั้งนั้นฝ่ายรัฐบาลสูญเสียนายทหารและพลทหารไปเป็นจำนวนมาก อย่างไรก็ตามทางฝ่ายรัฐบาลก็หาได้หยุดยั้งการรุกต่อไปไม่
ฉาย,to project; to shine,chai,tɕʰǎːj,พนักงานในโรงหนังจะคอยฉายไฟฉายพาคนที่เข้าดูหนังไปส่งที่นั่ง
ศพ,corpse,sop,sòp,เจ้าหน้าที่ได้ส่งศพของผู้ต้องหาไปยังแผนกนิติเวชแล้ว
หนังสือพิมพ์,newspaper,nangsuephim,nǎŋ sɯ̌ː pʰim,ข่าวของเขาขึ้นหน้าหนึ่งของหนังสือพิมพ์มาหลายวันแล้ว
ส่งผล,affect; influence; impact,songphon,sòŋ pʰǒn,เศรษฐกิจที่กำลังฟื้นตัวส่งผลให้บริษัทจ้างงานพนักงานเพิ่มขึ้นกว่าปีก่อน
บางที,"perhaps, maybe",bangthi,baːŋ tʰiː,เขาไม่ค่อยมีเวลาส่วนตัวเท่าไร กว่าจะได้นอนบางทีก็ตีหนึ่ง ตีสอง
สุขภาพ,health,sukphap,sùk kʰà pʰâːp,บางคนอยากเป็นนักกีฬา แต่เป็นไม่ได้เพราะสุขภาพไม่อำนวย
สวรรค์,heaven,sawan,sà wǎn,ชนเผ่าอริยกะถือว่ามีเทพเจ้าบนสวรรค์คอยดูแลทุกข์สุขให้แก่มนุษย์
โรงงาน,factory,rongngan,roːŋ ŋaːn,ครื่องบินปีกสองชั้นของเราลำแรก ซึ่งผลิตออกมาจากโรงงานที่ดอนเมืองได้บินขึ้นสู่อากาศ…
ความต้องการ,requirement; demand; need,khwamtongkan,kʰwaːm tɔ̂ŋ kaːn,พนักงานบริษัทยื่นข้อเสนอความต้องการของกลุ่มพนักงานให้กับประธานบริษัท
ลำดับ,sequence; order,lamdap,lam dàp,การคิดเพื่อเขียนข้อสอบแบบอัตนัยควรลำดับความคิดให้เป็นระบบ
สาขา,branch (of tree or office),sakha,sǎː kʰǎː,ธนาคารกรุงเทพจะเปิดสาขาใหม่ที่นี่
ยืนยัน,confirm,yuenyan,jɯːn jan,เครื่องพิมพ์ดีดเครื่องแรกของโลกมีหลักฐานยืนยันว่า มีผู้ประดิษฐ์มาแล้วเกือบ 300 ปี
ภายนอก,external; outside,phainok,pʰaːj nɔ̂ːk,ดูภายนอกเหมือนเขาเป็นชายแท้ แต่จริงๆ แล้วเขาเป็นเกย์คิง
ติดตาม,trace; follow,tittam,tìt taːm,เขาติดตามข่าวเศรษฐกิจของประเทศและของโลกทั้งทางโทรทัศน์ และอินเตอร์เน็ต
นาที,minute,nathi,naː tʰiː,สุรศักดิ์เดินเข้าเส้นชัยด้วยเวลา 8 นาทีกับอีก 30 วินาที
แผน,plot; plan,phaen,pʰɛ̌ːn,พวกมันทำแบบนี้เข้าแผนเราเลย
เช่นเดียว,as well,chendiao,tɕʰên diːaw,คนไข้รายก่อนๆ ของเขาก็เสียชีวิตด้วยโรคนี้เช่นเดียวกัน
วิเคราะห์,analyze,wikhro,wíʔ kʰrɔ́ʔ,การจับคนมาขึ้นเขียงเพื่อวิเคราะห์นั้น เราอาจจะทำได้หลายแง่หลายมุม
ความสนใจ,attention; interest,khwamsonchai,kʰwaːm sǒn tɕaj,ความสนใจของพี่น้องคู่นี้ต่างกันมาก
แปลง,convert; change; transform,plaeng,plɛːŋ,เขากำลังทดลองปลูกพืชผักสวนครัวในแปลงต่างๆ หลังบ้าน
สะอาด,clean,sa-at,sàʔ ʔàːt,บาดแผลบริเวณหน้าท้องควรกดบนแผลด้วยผ้าสะอาดเพื่อห้ามเลือด
สับสน,confused; mixed up,sapson,sàp sǒn,หากเราทำงานหลายๆ อย่างพร้อมกันจะทำให้สับสนได้ ดีไม่ดีอาจทำให้เสียไปทั้งหมด
ซ้อน,overlap; overlay,son,sɔ́ːn,การเรียงหนังสือเยอะขนาดนี้ จะต้องซ้อนกันขึ้นไปถึงจะได้
รบ,fight; combat,rop,róp,รัฐบาลไทยได้ส่งทหารไทยเข้าไปช่วยสหประชาชาติรบด้วยในสงครามเกาหลี
คนเรา,we; us,khonrao,kʰon raw,คนเราต้องดิ้นรนต่อสู้ ชีวิตจึงจะประสบความสำเร็จ
บิน,fly,bin,bin,นกเป็นสัตว์อิสระที่จะบินไปไหนก็ได้ตามที่ต้องการ
โฆษณา,commercial,khosana,kʰôːt sà naː,ห้ามโฆษณาสินค้าขายซอฟต์แวร์ที่ก๊อปปี้อย่างไม่ถูกกฎหมาย
บทบาท,role,botbat,bòt bàːt,เธอต้องไปหัดขี่ม้าให้สมบทบาทของการแสดง
หัก,fracture; subtract,hak,hàk,นักมวยคนนั้นถูกต่อยจนขากรรไกรหัก
หลง,lost; neglected; mentally weak,long,lǒŋ,เธอหลงเข้าใจว่าเขาชอบเธอเป็นคู่รัก
น้ำมัน,oil,namman,nám man,พรุ่งนี้น้ำมันลงอีกลิตรละ 20 สตางค์
อาทิตย์,sun; week,athit,ʔaː tʰít,คุณพ่อคุณแม่ของฉันจะไปบ้านคุณย่าวันอาทิตย์นี้
ถึงแม้,though; although,thuengmae,tʰɯ̌ŋ mɛ́ː,ถึงแม้ตูมตามยังเป็นเด็กอยู่ แต่เขามีความสามารถเท่าผู้ใหญ่บางคน
บุหรี่,cigarette,buri,bùʔ rìː,วัยรุ่นพยายามจะสูบบุหรี่ เพราะเข้าใจว่า การสูบบุหรี่เป็นเครื่องหมายแห่งความเป็นผู้ใหญ่
โทรศัพท์,phone,thorasap,tʰoː rá sàp,หลังจากที่เริ่มมีโทรศัพท์ การติดต่อสื่อสารก็ก้าวหน้าขึ้นเป็นลำดับ
ซ้าย,left,sai,sáːj,ธนาคารตั้งอยู่ทางซ้ายของร้านขายเครื่องเสียง
ชัน,steep; erect; precipiotious,chan,tɕʰan,เขาใช้ชันยาเรือตรงจุดที่รั่ว
ในที่สุด,eventually,naithisut,naj tʰîː sùt,ในตอนแรกมนุษย์ใช้คอมพิวเตอร์ทำงานส่วนตัว แต่ต่อมาก็เชื่อมโยงเข้าหาเครื่องอื่นๆ จนกลายเป็นเครือข่ายที่สลับซับซ้อน และในที่สุดคอมพิวเตอร์ต่างๆ ในโลกนี้สามารถส่งข้อมูลข่าวสารถึงกันได้
ที่ตั้ง,location; position; situation,thitang,tʰîː tâŋ,เจ้าของโรงงานมองหาที่ตั้งของโรงงานใหม่
เขียว,green,khiao,kʰǐːaw,ฉันไม่ชอบกลิ่นเหม็นเขียวของผักนี้เลย
กะ,also; to estimate; shift,ka,kàʔ,การเข้าทำงานส่วนใหญ่จะแบ่งเป็น 2 กะคือกะเช้าและกะเย็น
ทีเดียว,very; really,thidiao,tʰiː diːaw,มณีรักเทพมากทีเดียว
ให้การ,give evidence; testify,haikan,hâj kaːn,ท่านไปให้การที่ศาลในฐานพยานโจทก์
ยิ้ม,smile,yim,jím,คนไทยได้ชื่อว่าเป็นคนใจดี ยิ้มเก่ง ให้อภัยคนง่าย เป็นมิตรอยู่เสมอ
ข้าราชการ,government officer,kharatchakan,kʰâː râːt tɕʰá kaːn,ระบบราชการของไทยต้องพยายามปรับปรุงให้ข้าราชการทำงานรวดเร็วขึ้นกว่าเดิม
พื้นฐาน,foundation,phuenthan,pʰɯ́ːn tʰǎːn,เมื่อพุทธศาสนาขยายไปสู่วัฒนธรรมที่แตกต่างออกไป ซึ่งไม่มีพื้นฐานทางวัฒนธรรมแบบพุทธมาก่อน ก็อาจจะมีปัญหาอีกหลายอย่างเกิดขึ้นได้
หนี้,debt,ni,nîː,ไทยมีหนี้ต่างประเทศสูงถึง 5 ล้านล้านบาท
ฝั่ง,coast; shore; side; bank,fang,fàŋ,เราจะช่วยกันล้อมปลาให้ว่ายหนีเข้าไปหาฝั่งที่ตื้น
ขน,hair (on body); transport,khon,kʰǒn,สุนัขพันธุ์ไทยมีขนสั้น
ตรวจสอบ,check,truatsop,trùːat sɔ̀ːp,เจ้าหน้าที่ตรวจสอบหลักฐานที่ได้มา
เสี่ยง,risky; risk,siang,sìːaŋ,เขาเสี่ยงวัดกระแสความนิยมของชาวกทม. ด้วยการลงสมัคร ส.ส.
ยิ่งใหญ่,great; mighty,yingyai,jîŋ jàj,แม้ว่าไคฟูจะไม่ใช่ผู้นำที่ยิ่งใหญ่ที่สุด แต่เขาก็ทำหน้าที่ได้ดีพอควร
ยินดี,happy,yindi,jin diː,คุณครูยินดีที่จะช่วยเป็นที่ปรึกษาให้กับนักเรียนที่เรียนดี
ยาย,grandmother,yai,jaːj,ชีวิตผมวัยเด็กอาศัยอยู่กับยายที่โพธาราม
หน่วย,unit,nuai,nùaj,หน่วยนาวิกโยธินของสหรัฐถูกทหารอิรักยิงและจับไปจำนวนหนึ่ง
ตะวันตก,west,tawantok,tàʔ wan tòk,การเดินทางเข้าป่าครั้งนี้ ทุกคนมุ่งหน้าไปทางตะวันตก
รถยนต์,car,rothon,rót jon,สมัยตอนขับรถมอเตอร์ไซค์รับจ้าง ผมเคยโดนรถยนต์ทับขาแต่กระดูกไม่หัก
รอย,trace; mark,roi,rɔːj,นายพรานแกะรอยของเสือโคร่งไปทางชายป่า
เอกสาร,document,eksan,ʔèːk kà sǎːn,นักศึกษาที่อยู่ห่างไกลจากสถาบันการศึกษา สามารถค้นหาเอกสารได้โดยใช้ระบบคอมพิวเตอร์
เก่ง,good,keng,kèŋ,ผู้ใหญ่ไม่ควรคาดหวังให้สูงจากเด็ก เช่น ต้องเรียนเก่ง เพราะการคาดหวังทำให้ผู้เลี้ยงมีอารมณ์รุนแรงต่อเด็ก
สนิท,close,sanit,sà nìt,มสนิทกับเขาตั้งแต่ตอนเข้าโรงเรียน
กระดาษ,paper,kradat,kràʔ dàːt,ชาวบ้านใช้เยื่อสามาทำกระดาษ
เข็ม,needle,khem,kʰěm,พี่ชี้ให้ดูปลาเข็มที่ว่ายอยู่เป็นฝูงบนผิวน้ำ
สำนัก,office; bureau; institution,samnak,sǎm nák,เพื่อนร่วมสำนักของท่านถึงแก่อนิจกรรมเนื่องจากเส้นโลหิตสมองแตก
คอ,neck,kho,kʰɔː,ผมเป็นคอหนังสืออยู่แล้ว เมื่อสิ้นกระบวนการชมจึงต้องแวะเข้าไปอุดหนุนตามธรรมเนียม
สด,fresh,sot,sòt,การปราศรัยครั้งนี้ ถ่ายทอดสดออกทีวีไปทั่วโลก
โรงพยาบาล,hospital,rongphayaban,roːŋ pʰá jaː baːn,คนไทยตกงานเป็นล้านส่งผลให้คนไปใช้บริการโรงพยาบาลโรคจิตกันปีละเกือบล้านเช่นกัน
หิน,rock,hin,hǐn,ถ้ำบางแห่งถูกทำลายไปเพื่อจะนำหินไปทำถนน
ห่างไกล,far; afar,hangklai,hàːŋ klaj,นักศึกษาบางคนอยู่หอพัก เพราะบ้านอยู่ห่างไกลมหาวิทยาลัยต้องใช้รถโดยสารหลายต่อ
ตำบล,sub district,tambon,tam bon,ครั้งนี้พวกเราจะต้องเข้าไปสำรวจความเป็นอยู่ของชาวบ้านทุกอำเภอและทุกตำบล
ทั้งที่,even if; although,thangthi,tʰáŋ tʰîː,ทั้งที่คุณพ่อตายไปหลายปีแล้ว แต่ลูกๆ ก็ยังคงคิดถึงคุณพ่ออยู่เสมอ
